지점,지점명,일시,평균기온..C.,최저기온..C.,최고기온..C.,일강수량.mm.,최대.풍속.m.s.,평균.풍속.m.s.,합계.일사량.MJ.m2.,평균.전운량.1.10.
90,속초,2020-01-01,0.8,-3.4,4.8,NA,5.5,2.4,NA,0.3
90,속초,2020-01-02,2.8,-2.1,6.6,NA,5.8,2.3,NA,0.4
90,속초,2020-01-03,4.7,0.8,8.5,NA,5.6,2.2,NA,0
90,속초,2020-01-04,4,1.1,8.1,NA,5.6,2.2,NA,0
90,속초,2020-01-05,3.1,-0.6,8.8,NA,2.5,1.4,NA,1.3
90,속초,2020-01-06,5.3,0.9,8.1,0,2.4,1.2,NA,9
90,속초,2020-01-07,6.5,4,10.9,58.6,6,1.4,NA,10
90,속초,2020-01-08,6.1,4.3,10.8,37.2,9.7,3.7,NA,6.3
90,속초,2020-01-09,2.7,0.1,6.4,NA,5.6,1.8,NA,2.3
90,속초,2020-01-10,3.5,-1,8.9,NA,4.7,1.8,NA,4
90,속초,2020-01-11,3.1,0.1,6.9,NA,7.6,1.8,NA,2.5
90,속초,2020-01-12,2,-0.3,5.1,NA,3.5,1.7,NA,6.6
90,속초,2020-01-13,0.4,-2.7,4.2,NA,6.3,2.6,NA,0.8
90,속초,2020-01-14,-0.6,-4.1,4.3,NA,3.7,1.7,NA,0.8
90,속초,2020-01-15,0.1,-3.6,5.7,NA,2.6,1.3,NA,0
90,속초,2020-01-16,0.7,-3.5,6,NA,3.1,1.8,NA,2.6
90,속초,2020-01-17,2.8,-0.7,6.3,12,3.8,2.3,NA,7.9
90,속초,2020-01-18,2.4,0.1,6.9,15.3,2.9,1.7,NA,6.1
90,속초,2020-01-19,3.3,1.6,5.7,NA,6.4,2.7,NA,4.8
90,속초,2020-01-20,2.3,-0.6,5.9,NA,5.1,2.5,NA,0.9
90,속초,2020-01-21,1.2,-3.5,5.9,NA,3.6,1.7,NA,1.6
90,속초,2020-01-22,5.6,2,11.2,NA,3.2,1.3,NA,7.8
90,속초,2020-01-23,5.9,2.3,10.4,NA,2.5,1.4,NA,2.6
90,속초,2020-01-24,4,2,6.4,7,3.7,1.4,NA,6.9
90,속초,2020-01-25,4.7,0.9,7.7,NA,3.5,1.6,NA,7.6
90,속초,2020-01-26,5.1,3.3,6.7,6.9,5.4,2.4,NA,7.9
90,속초,2020-01-27,6.4,5.1,7.2,NA,5.8,4.2,NA,10
90,속초,2020-01-28,6.7,4,8.2,NA,5.3,3.8,NA,9.8
90,속초,2020-01-29,5.8,3.7,9,0.6,5.8,2.4,NA,8
90,속초,2020-01-30,2.5,0.1,6.2,10.1,5.8,2.3,NA,9.6
90,속초,2020-01-31,2.1,-1.1,6.7,0.4,2.5,1,NA,3.4
90,속초,2020-02-01,4.4,0.3,8.2,NA,3.5,1.2,NA,0
90,속초,2020-02-02,3.8,-0.7,8,NA,5.1,1.5,NA,5.5
90,속초,2020-02-03,1.7,-0.7,5.2,NA,5.5,2.4,NA,0.6
90,속초,2020-02-04,1.5,-2.5,5.5,NA,5.5,2.4,NA,2.9
90,속초,2020-02-05,-4,-6.9,0,NA,4.3,2.2,NA,1
90,속초,2020-02-06,-4,-8.2,0.5,NA,3.9,2,NA,4
90,속초,2020-02-07,1.1,-5.9,5.3,NA,6.8,2.6,NA,0.1
90,속초,2020-02-08,1.1,-1.7,4.4,2.6,5.7,2.4,NA,3.6
90,속초,2020-02-09,1.8,-3.4,6.5,NA,4.7,2,NA,2.3
90,속초,2020-02-10,4,-0.1,8.1,NA,5.4,1.5,NA,0.1
90,속초,2020-02-11,7,0.1,12.6,NA,4.9,1.8,NA,2.5
90,속초,2020-02-12,9,5,11.7,2,3.9,1,NA,8.6
90,속초,2020-02-13,10.3,5.8,16.1,0,5.2,1.6,NA,1.9
90,속초,2020-02-14,9.9,6,13.7,NA,4.7,1.6,NA,6.3
90,속초,2020-02-15,8.4,4,10.5,1.5,7.9,3.9,NA,9.3
90,속초,2020-02-16,2.1,-1.2,5.7,6.1,8.4,3.3,NA,8.9
90,속초,2020-02-17,-2.8,-5.2,-0.2,NA,4.9,2.7,NA,5.9
90,속초,2020-02-18,0,-6.1,5.4,NA,3.3,1.6,NA,0.4
90,속초,2020-02-19,3.5,-0.8,7.6,NA,2.4,1.3,NA,4.3
90,속초,2020-02-20,5.8,1.3,10,NA,2.9,1.3,NA,0.8
90,속초,2020-02-21,8.4,2.1,13.4,0,3.8,1.3,NA,8.5
90,속초,2020-02-22,6,0.9,8.9,0,7.4,3.7,NA,1.6
90,속초,2020-02-23,5.6,0.2,10.5,NA,4.4,2,NA,0.1
90,속초,2020-02-24,9.6,5.6,12.7,NA,7.5,2.6,NA,5.4
90,속초,2020-02-25,6.3,4.6,10.8,24.1,5.9,1.9,NA,9.8
90,속초,2020-02-26,2.7,0.4,5.2,17.5,2.4,1.1,NA,9.3
90,속초,2020-02-27,2.9,0,7.6,2,2.9,1.2,NA,6.9
90,속초,2020-02-28,5.2,-0.3,9.3,NA,3.2,1,NA,8.5
90,속초,2020-02-29,6.6,2.3,9.1,NA,5.6,1.9,NA,2.5
90,속초,2020-03-01,6.8,2.1,12.1,1.3,5.7,1.9,NA,6
90,속초,2020-03-02,4.4,1.4,7.1,0.6,6.7,2.5,NA,4.8
90,속초,2020-03-03,6,-0.6,10.5,0,6.6,2.4,NA,6.1
90,속초,2020-03-04,4.6,1.5,8.5,NA,7,3.4,NA,3.6
90,속초,2020-03-05,2.9,-1.8,7.3,NA,3.3,1.4,NA,0.1
90,속초,2020-03-06,5.2,-1,10.9,NA,4.7,1.7,NA,1.4
90,속초,2020-03-07,6,1.8,9.9,NA,3,1.6,NA,4.9
90,속초,2020-03-08,7.6,2.2,13.2,NA,5.5,2.1,NA,0.9
90,속초,2020-03-09,9.2,3,13.6,NA,3.7,1.2,NA,6
