지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),합계 일사량(MJ/m2),평균 전운량(1/10)
90,속초,2020-01-01,.8,-3.4,4.8,,5.5,2.4,,.3
90,속초,2020-01-02,2.8,-2.1,6.6,,5.8,2.3,,.4
90,속초,2020-01-03,4.7,.8,8.5,,5.6,2.2,,0
90,속초,2020-01-04,4,1.1,8.1,,5.6,2.2,,0
90,속초,2020-01-05,3.1,-.6,8.8,,2.5,1.4,,1.3
90,속초,2020-01-06,5.3,.9,8.1,0,2.4,1.2,,9
90,속초,2020-01-07,6.5,4,10.9,58.6,6,1.4,,10
90,속초,2020-01-08,6.1,4.3,10.8,37.2,9.7,3.7,,6.3
90,속초,2020-01-09,2.7,.1,6.4,,5.6,1.8,,2.3
90,속초,2020-01-10,3.5,-1,8.9,,4.7,1.8,,4
90,속초,2020-01-11,3.1,.1,6.9,,7.6,1.8,,2.5
90,속초,2020-01-12,2,-.3,5.1,,3.5,1.7,,6.6
90,속초,2020-01-13,.4,-2.7,4.2,,6.3,2.6,,.8
90,속초,2020-01-14,-.6,-4.1,4.3,,3.7,1.7,,.8
90,속초,2020-01-15,.1,-3.6,5.7,,2.6,1.3,,0
90,속초,2020-01-16,.7,-3.5,6,,3.1,1.8,,2.6
90,속초,2020-01-17,2.8,-.7,6.3,12,3.8,2.3,,7.9
90,속초,2020-01-18,2.4,.1,6.9,15.3,2.9,1.7,,6.1
90,속초,2020-01-19,3.3,1.6,5.7,,6.4,2.7,,4.8
90,속초,2020-01-20,2.3,-.6,5.9,,5.1,2.5,,.9
90,속초,2020-01-21,1.2,-3.5,5.9,,3.6,1.7,,1.6
90,속초,2020-01-22,5.6,2,11.2,,3.2,1.3,,7.8
90,속초,2020-01-23,5.9,2.3,10.4,,2.5,1.4,,2.6
90,속초,2020-01-24,4,2,6.4,7,3.7,1.4,,6.9
90,속초,2020-01-25,4.7,.9,7.7,,3.5,1.6,,7.6
90,속초,2020-01-26,5.1,3.3,6.7,6.9,5.4,2.4,,7.9
90,속초,2020-01-27,6.4,5.1,7.2,,5.8,4.2,,10
90,속초,2020-01-28,6.7,4,8.2,,5.3,3.8,,9.8
90,속초,2020-01-29,5.8,3.7,9,.6,5.8,2.4,,8
90,속초,2020-01-30,2.5,.1,6.2,10.1,5.8,2.3,,9.6
90,속초,2020-01-31,2.1,-1.1,6.7,.4,2.5,1,,3.4
90,속초,2020-02-01,4.4,.3,8.2,,3.5,1.2,,0
90,속초,2020-02-02,3.8,-.7,8,,5.1,1.5,,5.5
90,속초,2020-02-03,1.7,-.7,5.2,,5.5,2.4,,.6
90,속초,2020-02-04,1.5,-2.5,5.5,,5.5,2.4,,2.9
90,속초,2020-02-05,-4,-6.9,0,,4.3,2.2,,1
90,속초,2020-02-06,-4,-8.2,.5,,3.9,2,,4
90,속초,2020-02-07,1.1,-5.9,5.3,,6.8,2.6,,.1
90,속초,2020-02-08,1.1,-1.7,4.4,2.6,5.7,2.4,,3.6
90,속초,2020-02-09,1.8,-3.4,6.5,,4.7,2,,2.3
90,속초,2020-02-10,4,-.1,8.1,,5.4,1.5,,.1
90,속초,2020-02-11,7,.1,12.6,,4.9,1.8,,2.5
90,속초,2020-02-12,9,5,11.7,2,3.9,1,,8.6
90,속초,2020-02-13,10.3,5.8,16.1,0,5.2,1.6,,1.9
90,속초,2020-02-14,9.9,6,13.7,,4.7,1.6,,6.3
90,속초,2020-02-15,8.4,4,10.5,1.5,7.9,3.9,,9.3
90,속초,2020-02-16,2.1,-1.2,5.7,6.1,8.4,3.3,,8.9
90,속초,2020-02-17,-2.8,-5.2,-.2,,4.9,2.7,,5.9
90,속초,2020-02-18,0,-6.1,5.4,,3.3,1.6,,.4
90,속초,2020-02-19,3.5,-.8,7.6,,2.4,1.3,,4.3
90,속초,2020-02-20,5.8,1.3,10,,2.9,1.3,,.8
90,속초,2020-02-21,8.4,2.1,13.4,0,3.8,1.3,,8.5
90,속초,2020-02-22,6,.9,8.9,0,7.4,3.7,,1.6
90,속초,2020-02-23,5.6,.2,10.5,,4.4,2,,.1
90,속초,2020-02-24,9.6,5.6,12.7,,7.5,2.6,,5.4
90,속초,2020-02-25,6.3,4.6,10.8,24.1,5.9,1.9,,9.8
90,속초,2020-02-26,2.7,.4,5.2,17.5,2.4,1.1,,9.3
90,속초,2020-02-27,2.9,0,7.6,2,2.9,1.2,,6.9
90,속초,2020-02-28,5.2,-.3,9.3,,3.2,1,,8.5
90,속초,2020-02-29,6.6,2.3,9.1,,5.6,1.9,,2.5
90,속초,2020-03-01,6.8,2.1,12.1,1.3,5.7,1.9,,6
90,속초,2020-03-02,4.4,1.4,7.1,.6,6.7,2.5,,4.8
90,속초,2020-03-03,6,-.6,10.5,0,6.6,2.4,,6.1
90,속초,2020-03-04,4.6,1.5,8.5,,7,3.4,,3.6
90,속초,2020-03-05,2.9,-1.8,7.3,,3.3,1.4,,.1
90,속초,2020-03-06,5.2,-1,10.9,,4.7,1.7,,1.4
90,속초,2020-03-07,6,1.8,9.9,,3,1.6,,4.9
